debug 2024/11/25 23:20:47 ChatView: {127 76}
debug 2024/11/25 23:22:23 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:23:38 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:23:38 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:30:03 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:30:03 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:30:42 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:30:42 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:31:12 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:31:12 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:31:41 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:31:41 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:32:14 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:32:14 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:40:07 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:40:07 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:42:10 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:42:10 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:53:44 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:53:44 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:54:17 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:54:17 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:54:40 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:54:40 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:55:01 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:55:01 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:56:53 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:56:53 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:59:01 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/25 23:59:01 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:00:12 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:00:12 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:01:17 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:01:17 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:02:23 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:02:23 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:05:02 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:05:02 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:08:13 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:08:13 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:09:49 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:09:49 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:14:14 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:14:14 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:14:58 View: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 00:14:58 ChatView: tea.WindowSizeMsg{Width:127, Height:76}
debug 2024/11/26 10:56:25 View: tea.WindowSizeMsg{Width:283, Height:73}
debug 2024/11/26 10:56:25 ChatView: tea.WindowSizeMsg{Width:283, Height:73}
